통계연월,통계시도명,통계시군구명,지원구분,지급건수,,통계연월,통계시도명,통계시군구명,지원구분,지급건수,,통계연월,통계시도명,통계시군구명,지원구분,지급건수,,통계연월,통계시도명,통계시군구명,지원구분,지급건수,,통계연월,통계시도명,통계시군구명,지원구분,지급건수
통합,서울특별시,은평구,추가아동양육비,,,202503,서울특별시,은평구,추가아동양육비,174,,202502,서울특별시,은평구,추가아동양육비,177,,202412,서울특별시,도봉구,학용품비,12,,202501,서울특별시,은평구,추가아동양육비,173
통합,서울특별시,서대문구,아동양육비,,,202503,서울특별시,서대문구,아동양육비,631,,202502,서울특별시,서대문구,아동양육비,623,,202412,서울특별시,노원구,아동양육비,1766,,202501,서울특별시,서대문구,아동양육비,626
통합,서울특별시,서대문구,생활보조금,,,202503,서울특별시,서대문구,생활보조금,2,,202502,서울특별시,서대문구,생활보조금,2,,202412,서울특별시,노원구,추가아동양육비,144,,202501,서울특별시,서대문구,생활보조금,2
통합,서울특별시,서대문구,추가아동양육비,,,202503,서울특별시,서대문구,추가아동양육비,65,,202502,서울특별시,서대문구,추가아동양육비,63,,202412,서울특별시,은평구,아동양육비,1746,,202501,서울특별시,서대문구,추가아동양육비,64
통합,서울특별시,마포구,아동양육비,,,202503,서울특별시,마포구,아동양육비,522,,202502,서울특별시,마포구,아동양육비,521,,202412,서울특별시,은평구,추가아동양육비,172,,202501,서울특별시,마포구,아동양육비,527
통합,서울특별시,마포구,생활보조금,,,202503,서울특별시,마포구,생활보조금,1,,202502,서울특별시,마포구,생활보조금,1,,202412,서울특별시,서대문구,아동양육비,695,,202501,서울특별시,마포구,생활보조금,1
통합,서울특별시,마포구,추가아동양육비,,,202503,서울특별시,마포구,추가아동양육비,45,,202502,서울특별시,마포구,추가아동양육비,47,,202412,서울특별시,서대문구,생활보조금,2,,202501,서울특별시,마포구,추가아동양육비,50
통합,서울특별시,양천구,아동양육비,,,202503,서울특별시,양천구,아동양육비,1225,,202502,서울특별시,양천구,아동양육비,1194,,202412,서울특별시,서대문구,추가아동양육비,66,,202501,서울특별시,양천구,아동양육비,1190
통합,서울특별시,양천구,추가아동양육비,,,202503,서울특별시,양천구,추가아동양육비,122,,202502,서울특별시,양천구,추가아동양육비,117,,202412,서울특별시,마포구,아동양육비,590,,202501,서울특별시,양천구,추가아동양육비,119
통합,서울특별시,강서구,아동양육비,,,202503,서울특별시,강서구,아동양육비,1872,,202502,서울특별시,강서구,아동양육비,1856,,202412,서울특별시,마포구,생활보조금,1,,202501,서울특별시,강서구,아동양육비,1845
통합,서울특별시,강서구,추가아동양육비,,,202503,서울특별시,강서구,추가아동양육비,181,,202502,서울특별시,강서구,추가아동양육비,185,,202412,서울특별시,마포구,추가아동양육비,50,,202501,서울특별시,강서구,추가아동양육비,190
